  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 34600 252.983841 252.761276
 i,egev(:,i= 34700 252.077423 231.656769
 i,egev(:,i= 34800 250.392700 222.453903
 i,egev(:,i= 34900 252.614853 249.390564
 i,egev(:,i= 35000 252.058273 252.561203
 i,egev(:,i= 35100 253.361206 252.793274
 i,egev(:,i= 35200 253.113358 252.679657
 i,egev(:,i= 35300 251.837952 252.661026
 i,egev(:,i= 35400 252.399063 252.367691
 i,egev(:,i= 35500 252.772415 252.664581
 i,egev(:,i= 35600 252.275574 252.886887
 i,egev(:,i= 35700 252.306519 251.539200
 i,egev(:,i= 35800 252.577332 251.916367
 i,egev(:,i= 35900 252.355453 251.899734
 i,egev(:,i= 36000 234.845642 252.452637
 i,egev(:,i= 36100 252.557419 252.483490
 i,egev(:,i= 36200 225.575134 252.497589
 i,egev(:,i= 36300 253.003571 252.495178
 i,egev(:,i= 36400 202.816650 252.269531
 i,egev(:,i= 36500 252.405563 252.431717
 i,egev(:,i= 36600 225.127380 252.693893
 i,egev(:,i= 36700 252.611588 252.503555
 i,egev(:,i= 36800 250.645844 252.542267
 i,egev(:,i= 36900 248.289261 252.590210
 i,egev(:,i= 37000 247.477280 252.234283
 i,egev(:,i= 37100 252.268646 252.466232
 i,egev(:,i= 37200 252.608124 252.588699
 i,egev(:,i= 37300 252.308823 252.564102
 i,egev(:,i= 37400 222.870300 252.470200
 i,egev(:,i= 37500 252.552322 252.730667
 i,egev(:,i= 37600 252.638687 252.691696
 i,egev(:,i= 37700 252.725403 248.954376
 i,egev(:,i= 37800 252.261642 252.832138
 i,egev(:,i= 37900 252.254913 252.787994
 i,egev(:,i= 38000 252.546783 231.655853
 i,egev(:,i= 38100 252.889557 252.406082
 i,egev(:,i= 38200 252.514404 252.392990
 i,egev(:,i= 38300 249.709457 252.523193
 i,egev(:,i= 38400 252.750580 252.412186
 i,egev(:,i= 38500 252.432205 246.862976
 i,egev(:,i= 38600 252.805832 252.634583
 i,egev(:,i= 38700 252.505814 252.727859
 i,egev(:,i= 38800 252.476410 247.804306
 i,egev(:,i= 38900 252.466537 252.590164
 i,egev(:,i= 39000 252.587402 245.938614
 i,egev(:,i= 39100 252.704071 251.383148
 i,egev(:,i= 39200 252.745834 252.784485
 i,egev(:,i= 39300 242.585327 252.703323
 i,egev(:,i= 39400 252.646347 252.658508
 i,egev(:,i= 39500 252.860733 252.414856
 i,egev(:,i= 39600 252.881516 252.277252
 i,egev(:,i= 39700 237.025482 252.291946
 i,egev(:,i= 39800 252.878159 252.449753
 i,egev(:,i= 39900 253.085907 252.440170
 i,egev(:,i= 40000 215.270264 228.644226
 i,egev(:,i= 40100 252.191055 238.502686
 i,egev(:,i= 40200 253.587769 252.546646
 i,egev(:,i= 40300 252.906219 252.576767
 i,egev(:,i= 40400 234.067871 237.589142
 i,egev(:,i= 40500 252.801804 252.284363
 i,egev(:,i= 40600 252.957275 252.488190
 i,egev(:,i= 40700 221.640396 252.336807
 i,egev(:,i= 40800 252.178665 251.475372
 i,egev(:,i= 40900 252.643112 245.977921
 i,egev(:,i= 41000 252.657745 252.434998
 i,egev(:,i= 41100 252.293198 250.187637
 i,egev(:,i= 41200 251.856552 252.512283
 i,egev(:,i= 41300 251.343719 252.512024
 i,egev(:,i= 41400 252.162323 252.640503
 i,egev(:,i= 41500 252.534027 252.441177
 i,egev(:,i= 41600 251.691895 252.639252
 i,egev(:,i= 41700 252.837051 249.697693
 i,egev(:,i= 41800 251.873871 252.076508
 i,egev(:,i= 41900 252.320511 248.003113
 i,egev(:,i= 42000 252.271332 252.755692
 i,egev(:,i= 42100 252.348679 248.596786
 i,egev(:,i= 42200 253.490784 252.897400
 i,egev(:,i= 42300 252.593506 252.593109
 i,egev(:,i= 42400 252.281097 252.652924
 i,egev(:,i= 42500 252.857864 253.007629
 i,egev(:,i= 42600 252.687027 248.585449
 i,egev(:,i= 42700 251.962540 252.788605
 i,egev(:,i= 42800 252.987656 252.909195
 i,egev(:,i= 42900 252.355545 252.519363
 i,egev(:,i= 43000 252.210403 252.715424
 i,egev(:,i= 43100 252.213928 252.760361
 i,egev(:,i= 43200 252.627029 252.888428
 i,egev(:,i= 43300 252.703232 252.341782
 i,egev(:,i= 43400 252.730972 252.430420
 i,egev(:,i= 43500 251.554596 252.376709
 i,egev(:,i= 43600 239.304443 252.411728
 i,egev(:,i= 43700 252.120132 252.386108
